t(s),alt(ft),vz(ft/s),alt(m),vz(m/s)
46.35,10622.39,-29.2,3237.704472,-8.90016
46.85,10610.51,-23.76,3234.083448,-7.242048
47.35,10600.61,-19.8,3231.065928,-6.03504
47.85,10583.49,-34.24,3225.847752,-10.436352
48.35,10573.19,-20.6,3222.708312,-6.27888
48.85,10563.95,-18.48,3219.89196,-5.632704
49.35,10555.76,-16.38,3217.395648,-4.992624
49.85,10539.01,-33.51,3212.290248,-10.213848
50.35,10525.61,-26.8,3208.205928,-8.16864
50.85,10509.09,-33.04,3203.170632,-10.070592
51.35,10493.67,-30.83,3198.470616,-9.396984
51.85,10479.74,-27.87,3194.224752,-8.494776
52.35,10469.19,-21.09,3191.009112,-6.428232
52.85,10456.75,-24.87,3187.2174,-7.580376
53.35,10445.4,-22.7,3183.75792,-6.91896
53.85,10433.92,-22.96,3180.258816,-6.998208
54.35,10418.54,-30.77,3175.570992,-9.378696
54.85,10403.83,-29.41,3171.087384,-8.964168
55.35,10388.66,-30.33,3166.463568,-9.244584
55.85,10379.93,-17.46,3163.802664,-5.321808
56.35,10368.54,-22.77,3160.330992,-6.940296
56.85,10352.24,-32.62,3155.362752,-9.942576
57.35,10338.19,-28.09,3151.080312,-8.561832
57.85,10323.75,-28.87,3146.679,-8.799576
58.35,10305.4,-36.7,3141.08592,-11.18616
58.85,10292.92,-24.96,3137.282016,-7.607808
59.35,10277.74,-30.37,3132.655152,-9.256776
59.85,10266.39,-22.7,3129.195672,-6.91896
60.35,10251.51,-29.76,3124.660248,-9.070848
60.85,10238.21,-26.6,3120.606408,-8.10768
61.35,10224.97,-26.48,3116.570856,-8.071104
61.85,10214.77,-20.39,3113.461896,-6.214872
62.35,10200.82,-27.91,3109.209936,-8.506968
62.85,10187.25,-27.13,3105.0738,-8.269224
63.35,10173,-28.5,3100.7304,-8.6868
63.85,10159.6,-26.8,3096.64608,-8.16864
64.35,10144.88,-29.44,3092.159424,-8.973312
64.85,10132.91,-23.95,3088.510968,-7.29996
65.35,10118.72,-28.36,3084.185856,-8.644128
65.85,10104.98,-27.49,3079.997904,-8.378952
66.35,10089.38,-31.19,3075.243024,-9.506712
66.85,10078.11,-22.55,3071.807928,-6.87324
67.35,10063.89,-28.44,3067.473672,-8.668512
67.85,10046.71,-34.35,3062.237208,-10.46988
68.35,10034.97,-23.48,3058.658856,-7.156704
68.85,10020.37,-29.19,3054.208776,-8.897112
69.35,10005.7,-29.35,3049.73736,-8.94588
69.85,9992.76,-25.88,3045.793248,-7.888224
70.35,9974.61,-36.3,3040.261128,-11.06424
70.85,9964.29,-20.64,3037.115592,-6.291072
71.35,9949.83,-28.91,3032.708184,-8.811768
71.85,9937.46,-24.73,3028.937808,-7.537704
72.35,9925.97,-22.98,3025.435656,-7.004304
72.85,9921.58,-8.79,3024.097584,-2.679192
73.35,9909.06,-25.03,3020.281488,-7.629144
73.85,9893.25,-31.62,3015.4626,-9.637776
74.35,9878.2,-30.1,3010.87536,-9.17448
74.85,9863.96,-28.48,3006.535008,-8.680704
75.35,9847.77,-32.38,3001.600296,-9.869424
75.85,9834.61,-26.31,2997.589128,-8.019288
76.35,9820.89,-27.45,2993.407272,-8.36676
76.85,9803.71,-34.36,2988.170808,-10.472928
77.35,9790.57,-26.29,2984.165736,-8.013192
77.85,9776.06,-29.03,2979.743088,-8.848344
78.35,9762.65,-26.82,2975.65572,-8.174736
78.85,9748.72,-27.86,2971.409856,-8.491728
79.35,9733.77,-29.89,2966.853096,-9.110472
79.85,9722.82,-21.91,2963.515536,-6.678168
80.35,9707.05,-31.53,2958.70884,-9.610344
80.85,9692.84,-28.42,2954.377632,-8.662416
81.35,9677.88,-29.94,2949.817824,-9.125712
81.85,9666.5,-22.75,2946.3492,-6.9342
82.35,9650,-33,2941.32,-10.0584
82.85,9638,-24,2937.6624,-7.3152
83.35,9623,-30,2933.0904,-9.144
83.85,9607,-32,2928.2136,-9.7536
84.35,9595,-24,2924.556,-7.3152
84.85,9579.4,-31.2,2919.80112,-9.50976
85.35,9564.92,-28.96,2915.387616,-8.827008
85.85,9556.94,-15.97,2912.955312,-4.867656
86.35,9543.75,-26.37,2908.935,-8.037576
86.85,9529,-29.5,2904.4392,-8.9916
87.35,9513.4,-31.2,2899.68432,-9.50976
87.85,9497.32,-32.16,2894.783136,-9.802368
88.35,9483.46,-27.73,2890.558608,-8.452104
88.85,9474.96,-16.98,2887.967808,-5.175504
89.35,9463.57,-22.79,2884.496136,-6.946392
89.85,9447.26,-32.63,2879.524848,-9.945624
90.35,9433.81,-26.9,2875.425288,-8.19912
90.85,9421.84,-23.92,2871.776832,-7.290816
91.35,9409.08,-25.54,2867.887584,-7.784592
91.85,9396.86,-24.43,2864.162928,-7.446264
92.35,9381.89,-29.95,2859.600072,-9.12876
92.85,9367.71,-28.36,2855.278008,-8.644128
93.35,9351.17,-33.08,2850.236616,-10.082784
93.85,9338.54,-25.27,2846.386992,-7.702296
94.35,9329.43,-18.21,2843.610264,-5.550408
94.85,9317.54,-23.77,2839.986192,-7.245096
95.35,9300.83,-33.42,2834.892984,-10.186416
95.85,9291.67,-18.33,2832.101016,-5.586984
96.35,9274.93,-33.47,2826.998664,-10.201656
96.85,9260.75,-28.37,2822.6766,-8.647176
97.35,9246.8,-27.9,2818.42464,-8.50392
97.85,9234.04,-25.52,2814.535392,-7.778496
98.35,9220.63,-26.81,2810.448024,-8.171688
98.85,9217.5,-6.25,2809.494,-1.905
99.35,9203.4,-28.2,2805.19632,-8.59536
99.85,9188.72,-29.36,2800.721856,-8.948928
100.35,9177.58,-22.29,2797.326384,-6.793992
100.85,9165.46,-24.23,2793.632208,-7.385304
101.35,9150.57,-29.79,2789.093736,-9.079992
101.85,9135.06,-31.03,2784.366288,-9.457944
102.35,9117.85,-34.42,2779.12068,-10.491216
102.85,9112.08,-11.54,2777.361984,-3.517392
103.35,9099.46,-25.23,2773.515408,-7.690104
103.85,9084.17,-30.58,2768.855016,-9.320784
104.35,9070.13,-28.07,2764.575624,-8.555736
104.85,9058.11,-24.05,2760.911928,-7.33044
105.35,9044.29,-27.64,2756.699592,-8.424672
105.85,9027.83,-32.91,2751.682584,-10.030968
106.35,9014.66,-26.33,2747.668368,-8.025384
106.85,8999.33,-30.67,2742.995784,-9.348216
107.35,8990.46,-17.73,2740.292208,-5.404104
107.85,8977.57,-25.79,2736.363336,-7.860792
108.35,8962.46,-30.23,2731.757808,-9.214104
108.85,8948.57,-27.78,2727.524136,-8.467344
109.35,8935.85,-25.43,2723.64708,-7.751064
109.85,8923.68,-24.34,2719.937664,-7.418832
110.35,8910.15,-27.07,2715.81372,-8.250936
110.85,8894.92,-30.46,2711.171616,-9.284208
111.35,8881.73,-26.37,2707.151304,-8.037576
111.85,8868.99,-25.49,2703.268152,-7.769352
112.35,8855.79,-26.39,2699.244792,-8.043672
112.85,8843.03,-25.52,2695.355544,-7.778496
113.35,8834.62,-16.81,2692.792176,-5.123688
113.85,8821.1,-27.05,2688.67128,-8.24484
114.35,8807.88,-26.44,2684.641824,-8.058912
114.85,8796.3,-23.15,2681.11224,-7.05612
115.35,8779.44,-33.72,2675.973312,-10.277856
115.85,8772.15,-14.58,2673.75132,-4.443984
116.35,8755.32,-33.66,2668.621536,-10.259568
116.85,8739.46,-31.73,2663.787408,-9.671304
117.35,8724.77,-29.38,2659.309896,-8.955024
117.85,8709.21,-31.11,2654.567208,-9.482328
118.35,8696.37,-25.69,2650.653576,-7.830312
118.85,8681.1,-30.55,2645.99928,-9.31164
119.35,8667.48,-27.24,2641.847904,-8.302752
119.85,8658.18,-18.59,2639.013264,-5.666232
120.35,8641.54,-33.27,2633.941392,-10.140696
120.85,8627.64,-27.82,2629.704672,-8.479536
121.35,8614.51,-26.25,2625.702648,-8.001
121.85,8605.41,-18.2,2622.928968,-5.54736
122.35,8594.93,-20.96,2619.734664,-6.388608
122.85,8579.94,-29.97,2615.165712,-9.134856
123.35,8568.95,-21.98,2611.81596,-6.699504
123.85,8554.76,-28.38,2607.490848,-8.650224
124.35,8543.41,-22.71,2604.031368,-6.922008
124.85,8531.73,-23.36,2600.471304,-7.120128
125.35,8520.78,-21.89,2597.133744,-6.672072
125.85,8508.43,-24.71,2593.369464,-7.531608
126.35,8497.94,-20.97,2590.172112,-6.391656
126.85,8485.75,-24.38,2586.4566,-7.431024
127.35,8472.8,-25.9,2582.50944,-7.89432
127.85,8456.44,-32.72,2577.522912,-9.973056
128.35,8445.15,-22.58,2574.08172,-6.882384
128.85,8429.52,-31.26,2569.317696,-9.528048
129.35,8417.42,-24.21,2565.629616,-7.379208
129.85,8402.93,-28.97,2561.213064,-8.830056
130.35,8386.95,-31.97,2556.34236,-9.744456
130.85,8376.36,-21.18,2553.114528,-6.455664
131.35,8361.09,-30.54,2548.460232,-9.308592
131.85,8348.27,-25.63,2544.552696,-7.812024
132.35,8340.81,-14.91,2542.278888,-4.544568
132.85,8329.25,-23.12,2538.7554,-7.046976
133.35,8317.2,-24.1,2535.08256,-7.34568
133.85,8298.96,-36.48,2529.523008,-11.119104
134.35,8286.97,-23.98,2525.868456,-7.309104
134.85,8272.17,-29.59,2521.357416,-9.019032
135.35,8259.34,-25.67,2517.446832,-7.824216
135.85,8243.87,-30.94,2512.731576,-9.430512
136.35,8230.9,-25.95,2508.77832,-7.90956
136.85,8218.72,-24.36,2505.065856,-7.424928
137.35,8206.17,-25.09,2501.240616,-7.647432
137.85,8192.34,-27.67,2497.025232,-8.433816
138.35,8184.87,-14.94,2494.748376,-4.553712
138.85,8169.9,-29.95,2490.18552,-9.12876
139.35,8156.72,-26.36,2486.168256,-8.034528
139.85,8131.97,-49.49,2478.624456,-15.084552
140.35,8119.78,-24.39,2474.908944,-7.434072
140.85,8107.42,-24.71,2471.141616,-7.531608
141.35,8099.74,-15.37,2468.800752,-4.684776
141.85,8096.39,-6.7,2467.779672,-2.04216
142.35,8080.71,-31.36,2463.000408,-9.558528
142.85,8075.17,-11.08,2461.311816,-3.377184
143.35,8058.74,-32.87,2456.303952,-10.018776
143.85,8046.59,-24.29,2452.600632,-7.403592
144.35,8030.67,-31.84,2447.748216,-9.704832
144.85,8026.54,-8.27,2446.489392,-2.520696
145.35,8009.23,-34.61,2441.213304,-10.549128
145.85,7994.98,-28.49,2436.869904,-8.683752
146.35,7979.99,-29.99,2432.300952,-9.140952
146.85,7969.39,-21.19,2429.070072,-6.458712
147.35,7954.11,-30.56,2424.412728,-9.314688
147.85,7943.49,-21.25,2421.175752,-6.477
148.35,7930.19,-26.6,2417.121912,-8.10768
148.85,7918.15,-24.08,2413.45212,-7.339584
149.35,7899.72,-36.86,2407.834656,-11.234928
149.85,7888.98,-21.49,2404.561104,-6.550152
150.35,7876.18,-25.59,2400.659664,-7.799832
150.85,7866.95,-18.47,2397.84636,-5.629656
151.35,7853.76,-26.38,2393.826048,-8.040624
151.85,7845.01,-17.5,2391.159048,-5.334
152.35,7830.8,-28.4,2386.82784,-8.65632
152.85,7815.84,-29.92,2382.268032,-9.119616
153.35,7800.67,-30.34,2377.644216,-9.247632
153.85,7787.74,-25.87,2373.703152,-7.885176
154.35,7775.19,-25.1,2369.877912,-7.65048
154.85,7763.95,-22.48,2366.45196,-6.851904
155.35,7748.96,-29.98,2361.883008,-9.137904
155.85,7737.97,-21.99,2358.533256,-6.702552
156.35,7722.38,-31.19,2353.781424,-9.506712
156.85,7710.3,-24.15,2350.09944,-7.36092
157.35,7694.64,-31.32,2345.326272,-9.546336
157.85,7683.51,-22.26,2341.933848,-6.784848
158.35,7667.41,-32.21,2337.026568,-9.817608
158.85,7658.93,-16.96,2334.441864,-5.169408
159.35,7641.54,-34.77,2329.141392,-10.597896
159.85,7631.03,-21.02,2325.937944,-6.406896
160.35,7616.63,-28.81,2321.548824,-8.781288
160.85,7606.1,-21.05,2318.33928,-6.41604
161.35,7593.48,-25.24,2314.492704,-7.693152
161.85,7578.19,-30.59,2309.832312,-9.323832
162.35,7565.95,-24.47,2306.10156,-7.458456
162.85,7554.56,-22.78,2302.629888,-6.943344
163.35,7542.25,-24.62,2298.8778,-7.504176
163.85,7530.2,-24.1,2295.20496,-7.34568
164.35,7515.96,-28.48,2290.864608,-8.680704
164.85,7504.37,-23.18,2287.331976,-7.065264
165.35,7491.89,-24.95,2283.528072,-7.60476
165.85,7477.91,-27.96,2279.266968,-8.522208
166.35,7465.13,-25.57,2275.371624,-7.793736
166.85,7457.91,-14.45,2273.170968,-4.40436
167.35,7445.92,-23.96,2269.516416,-7.303008
167.85,7430.94,-29.97,2264.950512,-9.134856
168.35,7419.55,-22.78,2261.47884,-6.943344
168.85,7405.44,-28.22,2257.178112,-8.601456
169.35,7391.55,-27.78,2252.94444,-8.467344
169.85,7379.84,-23.42,2249.375232,-7.138416
170.35,7366.07,-27.54,2245.178136,-8.394192
170.85,7353.06,-26.03,2241.212688,-7.933944
171.35,7338.45,-29.22,2236.75956,-8.906256
171.85,7323.36,-30.18,2232.160128,-9.198864
172.35,7312.29,-22.14,2228.785992,-6.748272
172.85,7300.43,-23.71,2225.171064,-7.226808
173.35,7283.74,-33.37,2220.083952,-10.171176
173.85,7271.59,-24.3,2216.380632,-7.40664
174.35,7260.28,-22.64,2212.933344,-6.900672
174.85,7248.42,-23.71,2209.318416,-7.226808
175.35,7232.94,-30.97,2204.600112,-9.439656
175.85,7222.75,-20.37,2201.4942,-6.208776
176.35,7206.4,-32.7,2196.51072,-9.96696
176.85,7195.12,-22.56,2193.072576,-6.876288
177.35,7178.5,-33.25,2188.0068,-10.1346
177.85,7168.8,-19.4,2185.05024,-5.91312
178.35,7152.04,-33.52,2179.941792,-10.216896
178.85,7136.03,-32.01,2175.061944,-9.756648
179.35,7121.02,-30.01,2170.486896,-9.147048
179.85,7110.42,-21.21,2167.256016,-6.464808
180.35,7098.14,-24.57,2163.513072,-7.488936
180.85,7086.31,-23.65,2159.907288,-7.20852
181.35,7069.05,-34.52,2154.64644,-10.521696
181.85,7056.44,-25.22,2150.802912,-7.687056
182.35,7044.15,-24.58,2147.05692,-7.491984
182.85,7030.12,-28.06,2142.780576,-8.552688
183.35,7015.5,-29.25,2138.3244,-8.9154
183.85,7006.4,-18.2,2135.55072,-5.54736
184.35,6995.12,-22.56,2132.112576,-6.876288
184.85,6984.69,-20.85,2128.933512,-6.35508
185.35,6972.56,-24.28,2125.236288,-7.400544
185.85,6959.24,-26.62,2121.176352,-8.113776
186.35,6941,-36.5,2115.6168,-11.1252
186.85,6929.2,-23.6,2112.02016,-7.19328
187.35,6916.36,-25.68,2108.106528,-7.827264
187.85,6903.49,-25.74,2104.183752,-7.845552
188.35,6891.39,-24.19,2100.495672,-7.373112
188.85,6880.51,-21.75,2097.179448,-6.6294
189.35,6864.21,-32.6,2092.211208,-9.93648
189.85,6849.37,-29.68,2087.687976,-9.046464
190.35,6833.49,-31.75,2082.847752,-9.6774
190.85,6820.99,-25,2079.037752,-7.62
191.35,6806,-30,2074.4688,-9.144
191.85,6793.4,-25.2,2070.62832,-7.68096
192.35,6779.72,-27.36,2066.458656,-8.339328
192.85,6768.17,-23.09,2062.938216,-7.037832
193.35,6749.14,-38.07,2057.137872,-11.603736
193.85,6737.31,-23.66,2053.532088,-7.211568
194.35,6720.85,-32.92,2048.51508,-10.034016
194.85,6711.68,-18.34,2045.720064,-5.590032
195.35,6694.74,-33.87,2040.556752,-10.323576
195.85,6683.79,-21.9,2037.219192,-6.67512
196.35,6667.84,-31.92,2032.357632,-9.729216
196.85,6658.87,-17.93,2029.623576,-5.465064
197.35,6649.09,-19.55,2026.642632,-5.95884
197.85,6636.48,-25.24,2022.799104,-7.693152
198.35,6623.78,-25.39,2018.928144,-7.738872
198.85,6610.82,-25.91,2014.977936,-7.897368
199.35,6607.66,-6.33,2014.014768,-1.929384
199.85,6592.33,-30.66,2009.342184,-9.345168
200.35,6587.46,-9.73,2007.857808,-2.965704
200.85,6575.77,-23.38,2004.294696,-7.126224
201.35,6560.22,-31.11,1999.555056,-9.482328
201.85,6541.37,-37.69,1993.809576,-11.487912
202.35,6533.5,-15.75,1991.4108,-4.8006
202.85,6515.8,-35.4,1986.01584,-10.78992
203.35,6501.44,-28.72,1981.638912,-8.753856
203.85,6488.35,-26.18,1977.64908,-7.979664
204.35,6477.68,-21.34,1974.396864,-6.504432
204.85,6463.14,-29.07,1969.965072,-8.860536
205.35,6447.72,-30.86,1965.265056,-9.406128
205.85,6435.37,-24.69,1961.500776,-7.525512
206.35,6423.3,-24.15,1957.82184,-7.36092
206.85,6412.64,-21.32,1954.572672,-6.498336
207.35,6399.51,-26.25,1950.570648,-8.001
207.85,6383.01,-33,1945.541448,-10.0584
208.35,6370.41,-25.2,1941.700968,-7.68096
208.85,6354.73,-31.36,1936.921704,-9.558528
209.35,6344.98,-19.49,1933.949904,-5.940552
209.85,6332.38,-25.19,1930.109424,-7.677912
210.35,6320.91,-22.95,1926.613368,-6.99516
210.85,6304.53,-32.76,1921.620744,-9.985248
211.35,6292.62,-23.81,1917.990576,-7.257288
211.85,6278.9,-27.45,1913.80872,-8.36676
212.35,6266.12,-25.56,1909.913376,-7.790688
212.85,6249.89,-32.45,1904.966472,-9.89076
213.35,6236.51,-26.76,1900.888248,-8.156448
213.85,6227.41,-18.21,1898.114568,-5.550408
214.35,6217.13,-20.56,1894.981224,-6.266688
214.85,6201.1,-32.05,1890.09528,-9.76884
215.35,6190.48,-21.24,1886.858304,-6.473952
215.85,6175.59,-29.79,1882.319832,-9.079992
216.35,6161.87,-27.43,1878.137976,-8.360664
216.85,6145.9,-31.95,1873.27032,-9.73836
217.35,6129.92,-31.96,1868.399616,-9.741408
217.85,6115.13,-29.57,1863.891624,-9.012936
218.35,6106.31,-17.65,1861.203288,-5.37972
218.85,6091.65,-29.32,1856.73492,-8.936736
219.35,6080.92,-21.46,1853.464416,-6.541008
219.85,6064.93,-31.97,1848.590664,-9.744456
220.35,6055.75,-18.37,1845.7926,-5.599176
220.85,6042.8,-25.9,1841.84544,-7.89432
221.35,6031.24,-23.12,1838.321952,-7.046976
221.85,6018.39,-25.7,1834.405272,-7.83336
222.35,6006.91,-22.96,1830.906168,-6.998208
222.85,5992.53,-28.76,1826.523144,-8.766048
223.35,5976.42,-32.21,1821.612816,-9.817608
223.85,5960.74,-31.37,1816.833552,-9.561576
224.35,5950.99,-19.5,1813.861752,-5.9436
224.85,5937.39,-27.2,1809.716472,-8.29056
225.35,5922.91,-28.96,1805.302968,-8.827008
225.85,5910.13,-25.57,1801.407624,-7.793736
226.35,5898.11,-24.05,1797.743928,-7.33044
226.85,5884.28,-27.64,1793.528544,-8.424672
227.35,5872.03,-24.51,1789.794744,-7.470648
227.85,5860.22,-23.61,1786.195056,-7.196328
228.35,5850.98,-18.49,1783.378704,-5.635752
228.85,5839.38,-23.19,1779.843024,-7.068312
229.35,5826.11,-26.55,1775.798328,-8.09244
229.85,5814.08,-24.04,1772.131584,-7.327392
230.35,5802.67,-22.83,1768.653816,-6.958584
230.85,5793.33,-18.67,1765.806984,-5.690616
231.35,5778.87,-28.93,1761.399576,-8.817864
231.85,5764.89,-27.95,1757.138472,-8.51916
232.35,5751.71,-26.36,1753.121208,-8.034528
232.85,5737.37,-28.69,1748.750376,-8.744712
233.35,5725.9,-22.95,1745.25432,-6.99516
233.85,5716.72,-18.36,1742.456256,-5.596128
234.35,5701.57,-30.29,1737.838536,-9.232392
234.85,5689.66,-23.83,1734.208368,-7.263384
235.35,5677.53,-24.26,1730.511144,-7.394448
235.85,5665.82,-23.41,1726.941936,-7.135368
236.35,5654.46,-22.73,1723.479408,-6.928104
236.85,5641.57,-25.78,1719.550536,-7.857744
237.35,5630.25,-22.63,1716.1002,-6.897624
237.85,5617.8,-24.9,1712.30544,-7.58952
238.35,5606.24,-23.12,1708.781952,-7.046976
238.85,5593.19,-26.1,1704.804312,-7.95528
239.35,5580.35,-25.68,1700.89068,-7.827264
239.85,5568.08,-24.54,1697.150784,-7.479792
240.35,5557.27,-21.63,1693.855896,-6.592824
240.85,5544.21,-26.11,1689.875208,-7.958328
241.35,5530.97,-26.49,1685.839656,-8.074152
241.85,5519.38,-23.19,1682.307024,-7.068312
242.35,5503.3,-32.15,1677.40584,-9.79932
242.85,5492.84,-20.92,1674.217632,-6.376416
243.35,5479.07,-27.54,1670.020536,-8.394192
243.85,5466.26,-25.63,1666.116048,-7.812024
244.35,5449.61,-33.3,1661.041128,-10.14984
244.85,5439.29,-20.64,1657.895592,-6.291072
245.35,5427.23,-24.11,1654.219704,-7.348728
245.85,5415.98,-22.49,1650.790704,-6.854952
246.35,5402.59,-26.79,1646.709432,-8.165592
246.85,5389.67,-25.83,1642.771416,-7.872984
247.35,5378.33,-22.67,1639.314984,-6.909816
247.85,5366.67,-23.33,1635.761016,-7.110984
248.35,5356.33,-20.67,1632.609384,-6.300216
248.85,5344.47,-23.73,1628.994456,-7.232904
249.35,5330.77,-27.39,1624.818696,-8.348472
249.85,5321.42,-18.71,1621.968816,-5.702808
250.35,5309.14,-24.57,1618.225872,-7.488936
250.85,5297.51,-23.25,1614.681048,-7.0866
251.35,5286.21,-22.6,1611.236808,-6.88848
251.85,5272.57,-27.28,1607.079336,-8.314944
252.35,5260.85,-23.43,1603.50708,-7.141464
252.85,5248.08,-25.54,1599.614784,-7.784592
253.35,5236.87,-22.43,1596.197976,-6.836664
253.85,5220.09,-33.55,1591.083432,-10.22604
254.35,5208.07,-24.04,1587.419736,-7.327392
254.85,5198.26,-19.63,1584.429648,-5.983224
255.35,5185.81,-24.9,1580.634888,-7.58952
255.85,5171.45,-28.72,1576.25796,-8.753856
256.35,5161.56,-19.78,1573.243488,-6.028944
256.85,5151.25,-20.62,1570.101,-6.284976
257.35,5137.4,-27.7,1565.87952,-8.44296
257.85,5125.52,-23.76,1562.258496,-7.242048
258.35,5114.01,-23.01,1558.750248,-7.013448
258.85,5101.21,-25.61,1554.848808,-7.805928
259.35,5088.97,-24.48,1551.118056,-7.461504
259.85,5075.77,-26.39,1547.094696,-8.043672
260.35,5063.02,-25.51,1543.208496,-7.775448
260.85,5051.22,-23.61,1539.611856,-7.196328
261.35,5037.57,-27.29,1535.451336,-8.317992
261.85,5026.46,-22.23,1532.065008,-6.775704
262.35,5014.97,-22.98,1528.562856,-7.004304
262.85,5006.97,-15.99,1526.124456,-4.873752
263.35,4994.58,-24.79,1522.347984,-7.555992
263.85,4981.26,-26.63,1518.288048,-8.116824
264.35,4969.61,-23.3,1514.737128,-7.10184
264.85,4958.89,-21.44,1511.469672,-6.534912
265.35,4948.51,-20.75,1508.305848,-6.3246
265.85,4934.41,-28.2,1504.008168,-8.59536
266.35,4922.73,-23.36,1500.448104,-7.120128
266.85,4910.58,-24.29,1496.744784,-7.403592
267.35,4899.47,-22.23,1493.358456,-6.775704
267.85,4885.77,-27.39,1489.182696,-8.348472
268.35,4872.42,-26.71,1485.113616,-8.141208
268.85,4859.13,-26.57,1481.062824,-8.098536
269.35,4844.11,-30.05,1476.484728,-9.15924
269.85,4831.29,-25.64,1472.577192,-7.815072
270.35,4820.03,-22.51,1469.145144,-6.861048
270.85,4808.62,-22.81,1465.667376,-6.952488
271.35,4798.1,-21.05,1462.46088,-6.41604
271.85,4788.68,-18.84,1459.589664,-5.742432
272.35,4775.94,-25.47,1455.706512,-7.763256
272.85,4760.55,-30.78,1451.01564,-9.381744
273.35,4747.24,-26.62,1446.958752,-8.113776
273.85,4733.79,-26.9,1442.859192,-8.19912
274.35,4726.84,-13.92,1440.740832,-4.242816
274.85,4714.27,-25.13,1436.909496,-7.659624
275.35,4700.21,-28.11,1432.624008,-8.567928
275.85,4689.57,-21.29,1429.380936,-6.489192
276.35,4677.46,-24.23,1425.689808,-7.385304
276.85,4662.97,-28.98,1421.273256,-8.833104
277.35,4650.57,-24.79,1417.493736,-7.555992
277.85,4638.66,-23.83,1413.863568,-7.263384
278.35,4626.33,-24.66,1410.105384,-7.516368
278.85,4612.06,-28.53,1405.755888,-8.695944
279.35,4600.05,-24.02,1402.09524,-7.321296
279.85,4582.84,-34.42,1396.849632,-10.491216
280.35,4569.07,-27.54,1392.652536,-8.394192
280.85,4554.26,-29.63,1388.138448,-9.031224
281.35,4542.01,-24.5,1384.404648,-7.4676
281.85,4533,-18,1381.6584,-5.4864
282.35,4521.8,-22.4,1378.24464,-6.82752
282.85,4507.64,-28.32,1373.928672,-8.631936
283.35,4496.31,-22.66,1370.475288,-6.906768
283.85,4482.05,-28.53,1366.12884,-8.695944
284.35,4470.44,-23.22,1362.590112,-7.077456
284.85,4460.15,-20.58,1359.45372,-6.272784
285.35,4447.92,-24.46,1355.726016,-7.455408
285.85,4432.34,-31.17,1350.977232,-9.500616
286.35,4423.27,-18.14,1348.212696,-5.529072
286.85,4414.62,-17.31,1345.576176,-5.276088
287.35,4400.89,-27.45,1341.391272,-8.36676
287.85,4387.51,-26.76,1337.313048,-8.156448
288.35,4374.21,-26.61,1333.259208,-8.110728
288.85,4363.17,-22.08,1329.894216,-6.729984
289.35,4354.14,-18.07,1327.141872,-5.507736
289.85,4344.51,-19.25,1324.206648,-5.8674
290.35,4334.61,-19.8,1321.189128,-6.03504
290.85,4324.49,-20.24,1318.104552,-6.169152
291.35,4311.39,-26.19,1314.111672,-7.982712
291.85,4306.51,-9.75,1312.624248,-2.9718
292.35,4293.21,-26.6,1308.570408,-8.10768
292.85,4283.37,-19.68,1305.571176,-5.998464
293.35,4270.29,-26.15,1301.584392,-7.97052
293.85,4252.83,-34.92,1296.262584,-10.643616
294.35,4239.87,-25.93,1292.312376,-7.903464
294.85,4229.69,-20.35,1289.209512,-6.20268
295.35,4217.16,-25.08,1285.390368,-7.644384
295.85,4206.52,-21.26,1282.147296,-6.480048
296.35,4189.82,-33.41,1277.057136,-10.183368
296.85,4176.66,-26.33,1273.045968,-8.025384
297.35,4165.32,-22.66,1269.589536,-6.906768
297.85,4156.06,-18.53,1266.767088,-5.647944
298.35,4141.25,-29.62,1262.253,-9.028176
298.85,4124.4,-33.7,1257.11712,-10.27176
299.35,4114.52,-19.76,1254.105696,-6.022848
299.85,4107.21,-14.61,1251.877608,-4.453128
300.35,4094.97,-24.49,1248.146856,-7.464552
300.85,4084.98,-19.99,1245.101904,-6.092952
301.35,4069.58,-30.79,1240.407984,-9.384792
301.85,4059.67,-19.83,1237.387416,-6.044184
302.35,4041.93,-35.47,1231.980264,-10.811256
302.85,4029.15,-25.57,1228.08492,-7.793736
303.35,4017.92,-22.46,1224.662016,-6.845808
303.85,4006.53,-22.77,1221.190344,-6.940296
304.35,3992.63,-27.81,1216.953624,-8.476488
304.85,3980.7,-23.85,1213.31736,-7.26948
305.35,3968.56,-24.28,1209.617088,-7.400544
305.85,3954.85,-27.42,1205.43828,-8.357616
306.35,3941.88,-25.94,1201.485024,-7.906512
306.85,3931.1,-21.55,1198.19928,-6.56844
307.35,3919.48,-23.24,1194.657504,-7.083552
307.85,3903.99,-30.99,1189.936152,-9.445752
308.35,3888.79,-30.39,1185.303192,-9.262872
308.85,3876.23,-25.12,1181.474904,-7.656576
309.35,3864.58,-23.29,1177.923984,-7.098792
309.85,3852.27,-24.63,1174.171896,-7.507224
310.35,3838.81,-26.91,1170.069288,-8.202168
310.85,3827.65,-22.33,1166.66772,-6.806184
311.35,3812.52,-30.26,1162.056096,-9.223248
311.85,3802.02,-21.01,1158.855696,-6.403848
312.35,3789.61,-24.81,1155.073128,-7.562088
312.85,3778.09,-23.05,1151.561832,-7.02564
313.35,3763.67,-28.84,1147.166616,-8.790432
313.85,3748.54,-30.27,1142.554992,-9.226296
314.35,3737.83,-21.42,1139.290584,-6.528816
314.85,3726.86,-21.93,1135.946928,-6.684264
315.35,3714.49,-24.75,1132.176552,-7.5438
